id|stock_id|metric|reporting_period|year|metric_value|metric_currency
acc55503-a1a5-494e-919e-ac08e40764bf|8f0161f0-083d-431a-9fff-89deb073ce0f|netincome|fy|2021|595368000|RSD
59c78d07-fb81-4131-bd7f-85585b6c007d|8f0161f0-083d-431a-9fff-89deb073ce0f|netincome|fy|2018|452194000|RSD
a1dc421a-63b3-4568-b439-e1f28b501206|8f0161f0-083d-431a-9fff-89deb073ce0f|revenue|fy|2016|8700000000|RSD
906fe124-49ef-4972-80b0-3c11979a33e5|8f0161f0-083d-431a-9fff-89deb073ce0f|netincome|fy|2020|440440000|RSD
a0de3d29-7ed2-4696-ba41-c8f4b80ade07|dd194350-4c61-4643-8c74-1120ceca8fae|revenue|fy|2009|4110977000|RSD
21ae6e32-a72d-47ee-b9bb-1cbd4e0547a3|8f0161f0-083d-431a-9fff-89deb073ce0f|netincome|fy|2014|240986000|RSD
e4f0f233-2b40-4f2f-b159-90488658cbad|8f0161f0-083d-431a-9fff-89deb073ce0f|netincome|fy|2015|254427000|RSD
40caad38-dcb5-4f16-bdae-77f4e306c715|8f0161f0-083d-431a-9fff-89deb073ce0f|netincome|fy|2017|476516000|RSD
f4715455-e936-4768-a8e4-de28ec2c6dad|8f0161f0-083d-431a-9fff-89deb073ce0f|revenue|fy|2018|9994852000|RSD
7b06ef91-7ec2-4bcd-a45b-d8498042633d|8f0161f0-083d-431a-9fff-89deb073ce0f|revenue|fy|2017|9341870000|RSD
2c2e31bc-0029-4671-80c3-6ec45f635a9c|8f0161f0-083d-431a-9fff-89deb073ce0f|netincome|fy|2019|419386000|RSD
286794c1-2757-45f0-a48e-ba3827c7867b|8f0161f0-083d-431a-9fff-89deb073ce0f|netincome|fy|2016|258457000|RSD
9a9552c8-e8df-44bb-b9a1-84657fa1cd42|8f0161f0-083d-431a-9fff-89deb073ce0f|netincome|fy|2023|678438000|RSD
7d7890da-e7f7-41ce-b4ec-0e2fb05f388b|8f0161f0-083d-431a-9fff-89deb073ce0f|revenue|fy|2014|7824790000|RSD
74b3ace7-efca-4802-964a-75a6e6694e71|8f0161f0-083d-431a-9fff-89deb073ce0f|netincome|fy|2022|616283000|RSD
1127aaff-ff53-41d3-b24a-f0c7bb36d618|8f0161f0-083d-431a-9fff-89deb073ce0f|revenue|fy|2015|8284390000|RSD
